x,y,name,idx,path_idx,inst_idx,path,col,fill,alpha,lwd,lineend,linejoin,linemitre,fontsize,cex,fontfamily,font,xpath,tag,elem_idx,random,class,GDD,Tissue,order
488.097594079298,10.0285762433884,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.125797139017163,a,2564,Kernel,45
488.366195825987,9.88596158104064,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.207536243750336,a,2564,Kernel,46
488.635402271516,9.75885530362049,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0667436574788303,a,2564,Kernel,47
488.904788798229,9.64677571856165,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0591248171471359,a,2564,Kernel,48
489.17393078847,9.5492411332978,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.113531225952321,a,2564,Kernel,49
489.442403624585,9.46576985526262,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.233610544696991,a,2564,Kernel,50
489.709782688917,9.39588019188979,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.197071418076128,a,2564,Kernel,51
489.975643363812,9.33909045061298,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0176124657797044,a,2564,Kernel,52
490.239561031613,9.29491893886588,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0937590009581255,a,2564,Kernel,53
490.501111074665,9.26288396408217,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.313112704129366,a,2564,Kernel,54
490.759868875313,9.24250383369552,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.105975609990583,a,2564,Kernel,55
491.015409815901,9.23329685513961,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0563775924271151,a,2564,Kernel,56
491.267309278773,9.23478133584813,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0146997052484928,a,2564,Kernel,57
491.515142646275,9.24647558325475,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.237736686716145,a,2564,Kernel,58
491.75848530075,9.26789790479314,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0821467879446048,a,2564,Kernel,59
491.996912624544,9.298566607897,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.156508077706738,a,2564,Kernel,60
492.23,9.338,bezier3,1,3,3,c 2.116 -3.858 5.15 -4.597 7.376 -4.175,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.186756134973055,a,2564,Kernel,61
492.23,9.338,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.191039985689949,a,2564,Kernel,62
492.460560662594,9.39328193037845,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.156978995061574,a,2564,Kernel,63
492.691531674115,9.47127327893723,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.207024322963151,a,2564,Kernel,64
492.922674156382,9.57084755422527,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0763463820093205,a,2564,Kernel,65
493.153749231211,9.6908782647915,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0902222081532855,a,2564,Kernel,66
493.384518020419,9.83023891918488,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.135460616113078,a,2564,Kernel,67
493.614741645824,9.98780302595432,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0822518882141041,a,2564,Kernel,68
493.844181229243,10.1624440936488,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.233112738814589,a,2564,Kernel,69
494.072597892493,10.3530356308172,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.084072085542743,a,2564,Kernel,70
494.299752757391,10.5584511460085,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.11953887801774,a,2564,Kernel,71
494.525406945754,10.7775641477715,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.189243305339123,a,2564,Kernel,72
494.749321579401,11.0092481446554,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0463252796520521,a,2564,Kernel,73
494.971257780147,11.2523766452089,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0779990553725664,a,2564,Kernel,74
495.19097666981,11.5058231579811,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.314908122677227,a,2564,Kernel,75
495.408239370208,11.7684611915208,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0414666082777764,a,2564,Kernel,76
495.622807003157,12.039164254377,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,-0.0159176427841083,a,2564,Kernel,77
495.834440690475,12.3168058550986,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.143311764534319,a,2564,Kernel,78
496.042901553979,12.6002595022346,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.14495233202929,a,2564,Kernel,79
496.247950715487,12.8883987043339,bezier3,1,4,4,c 2.226 0.421 4.543 4.183 5.98 6.707,#000000FF,#00000000,1,0.5,butt,mitre,10,12,1,serif,1,/svg/g/path[1],path,1,0.0926424345669587,a,2564,Kernel,80
