GDD,ID,Gene,Tissue,Exp
,,,,
1106,6-Shell,ptg000020l.968.1.63146db3,Shell,1224.915949
,,,,
1223,6-Shell,ptg000020l.968.1.63146db3,Shell,272.4958249
,,,,
1357,6-Shell,ptg000020l.968.1.63146db3,Shell,1029.013641
,,,,
1508,6-Shell,ptg000020l.968.1.63146db3,Shell,155.9784717
,,,,
1647,6-Shell,ptg000020l.968.1.63146db3,Shell,244.2211814
,,,,
1759,6-Shell,ptg000020l.968.1.63146db3,Shell,456.8655063
,,,,
1881,6-Shell,ptg000020l.968.1.63146db3,Shell,546.5593425
,,,,
2007,6-Shell,ptg000020l.968.1.63146db3,Shell,275.5795286
,,,,
2139,6-Shell,ptg000020l.968.1.63146db3,Shell,676.7539649
,,,,
1223,6-Kernel,ptg000020l.968.1.63146db3,Kernel,7.168863855
,,,,
1357,6-Kernel,ptg000020l.968.1.63146db3,Kernel,3.410319534
,,,,
1508,6-Kernel,ptg000020l.968.1.63146db3,Kernel,3.975791235
,,,,
1647,6-Kernel,ptg000020l.968.1.63146db3,Kernel,5.959447377
,,,,
1759,6-Kernel,ptg000020l.968.1.63146db3,Kernel,6.345041426
,,,,
1881,6-Kernel,ptg000020l.968.1.63146db3,Kernel,92.81234473
,,,,
2007,6-Kernel,ptg000020l.968.1.63146db3,Kernel,4.176491962
,,,,
2139,6-Kernel,ptg000020l.968.1.63146db3,Kernel,83.49066323
,,,,
2284,6-Kernel,ptg000020l.968.1.63146db3,Kernel,16.22283532
,,,,
2377,6-Kernel,ptg000020l.968.1.63146db3,Kernel,2.545352262
,,,,
2475,6-Kernel,ptg000020l.968.1.63146db3,Kernel,4.749361248
,,,,
2564,6-Kernel,ptg000020l.968.1.63146db3,Kernel,12.48773897
,,,,
865,7-Hull,ptg000011l.670,Hull,538.2109651
,,,,
993,7-Hull,ptg000011l.670,Hull,2053.410115
,,,,
1106,7-Hull,ptg000011l.670,Hull,1601.771554
,,,,
1223,7-Hull,ptg000011l.670,Hull,560.6769792
,,,,
1357,7-Hull,ptg000011l.670,Hull,937.2924337
,,,,
1508,7-Hull,ptg000011l.670,Hull,422.4738012
,,,,
1647,7-Hull,ptg000011l.670,Hull,136.1664077
,,,,
1759,7-Hull,ptg000011l.670,Hull,298.1916421
,,,,
1881,7-Hull,ptg000011l.670,Hull,179.595511
,,,,
2007,7-Hull,ptg000011l.670,Hull,61.06572165
,,,,
2139,7-Hull,ptg000011l.670,Hull,664.1288292
,,,,
2284,7-Hull,ptg000011l.670,Hull,760.0352735
,,,,
2377,7-Hull,ptg000011l.670,Hull,707.5853773
,,,,
2475,7-Hull,ptg000011l.670,Hull,478.282344
,,,,
2564,7-Hull,ptg000011l.670,Hull,344.7007283
,,,,
865,7-Shell,ptg000011l.670,Shell,96.92755592
,,,,
993,7-Shell,ptg000011l.670,Shell,266.7879577
,,,,
1106,7-Shell,ptg000011l.670,Shell,434.4332952
,,,,
1223,7-Shell,ptg000011l.670,Shell,341.089835
,,,,
1357,7-Shell,ptg000011l.670,Shell,260.754923
,,,,
1508,7-Shell,ptg000011l.670,Shell,237.7229828
,,,,
1647,7-Shell,ptg000011l.670,Shell,130.0155331
,,,,
1759,7-Shell,ptg000011l.670,Shell,482.9057579
,,,,
1881,7-Shell,ptg000011l.670,Shell,150.1157282
,,,,
2007,7-Shell,ptg000011l.670,Shell,61.98896204
,,,,
2139,7-Shell,ptg000011l.670,Shell,1224.039932
,,,,
1223,7-Kernel,ptg000011l.670,Kernel,7.244578265
,,,,
1357,7-Kernel,ptg000011l.670,Kernel,5.925182538
,,,,
1508,7-Kernel,ptg000011l.670,Kernel,4.241022739
,,,,
1647,7-Kernel,ptg000011l.670,Kernel,2.041047701
,,,,
1759,7-Kernel,ptg000011l.670,Kernel,5.7501483
,,,,
1881,7-Kernel,ptg000011l.670,Kernel,49.76381064
,,,,
2007,7-Kernel,ptg000011l.670,Kernel,16.40189403
,,,,
2139,7-Kernel,ptg000011l.670,Kernel,48.8919818
,,,,
2284,7-Kernel,ptg000011l.670,Kernel,14.07202508
,,,,
2377,7-Kernel,ptg000011l.670,Kernel,64.81356634
,,,,
2475,7-Kernel,ptg000011l.670,Kernel,0.954991886
,,,,
2564,7-Kernel,ptg000011l.670,Kernel,13.06625845
,,,,
865,8-Hull,ptg000018l.2011,Hull,2305.245493
,,,,
993,8-Hull,ptg000018l.2011,Hull,7861.762927
,,,,
1106,8-Hull,ptg000018l.2011,Hull,1757.992641
,,,,
1223,8-Hull,ptg000018l.2011,Hull,503.013547
,,,,
1357,8-Hull,ptg000018l.2011,Hull,2347.798206
,,,,
1508,8-Hull,ptg000018l.2011,Hull,104.953363
,,,,
1647,8-Hull,ptg000018l.2011,Hull,88.37983315
,,,,
1759,8-Hull,ptg000018l.2011,Hull,426.8575688
,,,,
1881,8-Hull,ptg000018l.2011,Hull,183.5653449
,,,,
2007,8-Hull,ptg000018l.2011,Hull,69.40270967
